date,variable,value,value01
1967-07-01,pce,506.7,0
1967-08-01,pce,509.8,2.652497197765077e-4
1967-09-01,pce,515.6,7.615233890357775e-4
1967-10-01,pce,512.2,4.7060434153896666e-4
1967-11-01,pce,517.4,9.155393553576157e-4
1967-12-01,pce,525.1,0.001574385433512166
1968-01-01,pce,530.9,0.002070659102771431
1968-02-01,pce,533.6,0.002301683052254198
1968-03-01,pce,544.3,0.003217222407611809
1968-04-01,pce,544,0.0031915530798915055
1968-05-01,pce,549.8,0.0036878267491507704
1968-06-01,pce,556.3,0.004243995516424089
1968-07-01,pce,563.2,0.004834390053991158
1968-08-01,pce,567,0.00515953487178171
1968-09-01,pce,568.2,0.005262212182662942
1968-10-01,pce,571.6,0.005553131230159753
1968-11-01,pce,576.7,0.005989509801404973
1968-12-01,pce,576.5,0.0059723969162580985
1969-01-01,pce,583.5,0.006571347896398595
1969-02-01,pce,588.7,0.0070162829102172536
1969-03-01,pce,588.9,0.00703339579536412
1969-04-01,pce,593.9,0.0074612179240359025
1969-05-01,pce,600.3,0.008008830248735783
1969-06-01,pce,600.9,0.0080601689041764
1969-07-01,pce,602.7,0.008214184870498248
1969-08-01,pce,609.9,0.00883024873578561
1969-09-01,pce,613.2,0.009112611340708994
1969-10-01,pce,618.5,0.00956610279710108
1969-11-01,pce,620.5,0.009737231648569792
1969-12-01,pce,622.8,0.00993402982775881
1970-01-01,pce,628.7,0.010438859939591521
1970-02-01,pce,634,0.010892351395983609
1970-03-01,pce,632.3,0.010746891872235199
1970-04-01,pce,636,0.011063480247452321
1970-05-01,pce,642.4,0.011611092572152202
1970-06-01,pce,646.3,0.011944793832516192
1970-07-01,pce,648.5,0.01213303556913178
1970-08-01,pce,652.9,0.012509519042362948
1970-09-01,pce,659.1,0.013040018481915962
1970-10-01,pce,658.3,0.012971566941328472
1970-11-01,pce,656.6,0.012826107417580071
1970-12-01,pce,665.6,0.013596187249189281
1971-01-01,pce,676.1,0.014494613719400027
1971-02-01,pce,679.4,0.0147769763243234
1971-03-01,pce,682,0.01499944383123273
1971-04-01,pce,688.8,0.015581281926226351
1971-05-01,pce,691.1,0.015778080105415378
1971-06-01,pce,699.8,0.016522490609304274
1971-07-01,pce,698.9,0.016445482626143357
1971-08-01,pce,704.9,0.016958869180549497
1971-09-01,pce,713,0.017651941028997788
1971-10-01,pce,715.8,0.01789152142105398
1971-11-01,pce,720.9,0.018327899992299203
1971-12-01,pce,728.4,0.018969633185306877
1972-01-01,pce,731.5,0.019234882905083385
1972-02-01,pce,736.2,0.019637035706034867
1972-03-01,pce,749.2,0.020749373240581504
1972-04-01,pce,752.5,0.021031735845504877
1972-05-01,pce,758,0.021502340187043837
1972-06-01,pce,761.6,0.021810372119687525
1972-07-01,pce,769.9,0.02252055685328268
1972-08-01,pce,776.3,0.023068169177982562
1972-09-01,pce,781.1,0.02347887842150748
1972-10-01,pce,794.9,0.0246596674966416
1972-11-01,pce,800.5,0.025138828280754
1972-12-01,pce,806.1,0.025617989064866398
1973-01-01,pce,816.5,0.026507859092503704
1973-02-01,pce,825.8,0.027303608251833218
1973-03-01,pce,832.8,0.027902559231973715
1973-04-01,pce,835.7,0.028150696066603358
1973-05-01,pce,841.6,0.028655526178436058
1973-06-01,pce,844.3,0.02888655012791882
1973-07-01,pce,854.1,0.02972508150011552
1973-08-01,pce,853.3,0.029656629959528027
1973-09-01,pce,869.2,0.031017104328704307
1973-10-01,pce,868.2,0.03093153990296995
1973-11-01,pce,876.9,0.03167595040685885
1973-12-01,pce,876.6,0.031650281079138545
1974-01-01,pce,884.5,0.03232624004243996
1974-02-01,pce,889.7,0.032771175056258615
1974-03-01,pce,901.4,0.03377227883735059
1974-04-01,pce,910.8,0.03457658443925354
1974-05-01,pce,922.4,0.03556913177777208
1974-06-01,pce,928,0.03604829256188448
1974-07-01,pce,937.9,0.03689538037665461
1974-08-01,pce,954.8,0.03834141917156523
1974-09-01,pce,955.1,0.038367088499285544
1974-10-01,pce,959.2,0.03871790264479641
1974-11-01,pce,956.2,0.03846120936759334
1974-12-01,pce,961.8,0.038940370151705726
1975-01-01,pce,975.6,0.040121159226839856
1975-02-01,pce,989.4,0.04130194830197398
1975-03-01,pce,990.6,0.041404625612855205
1975-04-01,pce,995,0.04178110908608638
1975-05-01,pce,1018.9,0.0438260988611375
1975-06-01,pce,1026.8,0.04450205782443891
1975-07-01,pce,1039.8,0.045614395358985545
1975-08-01,pce,1047,0.04623045922427292
1975-09-01,pce,1054.8,0.04689786174500089
1975-10-01,pce,1060.9,0.04741980474198049
1975-11-01,pce,1075.8,0.048694714685422386
1975-12-01,pce,1092.1,0.050089414824892396
1976-01-01,pce,1107.1,0.051372881210907745
1976-02-01,pce,1107.7,0.051424219866348375
1976-03-01,pce,1114.9,0.052040283731635745
1976-04-01,pce,1125.4,0.05293871020184649
1976-05-01,pce,1122.7,0.052707686252363724
1976-06-01,pce,1140.5,0.05423073303043527
1976-07-01,pce,1149.6,0.05500936930461791
1976-08-01,pce,1158,0.05572811048078651
1976-09-01,pce,1168.8,0.05665220627871756
1976-10-01,pce,1176.8,0.05733672168459241
1976-11-01,pce,1189,0.05838060767855157
1976-12-01,pce,1211.5,0.060305807257574597
1977-01-01,pce,1215,0.060605282747644845
1977-02-01,pce,1231.3,0.061999982887114856
1977-03-01,pce,1238.3,0.06259893386725535
1977-04-01,pce,1247.3,0.06336901369886457
1977-05-01,pce,1257.1,0.06420754507106124
1977-06-01,pce,1263.6,0.06476371383833457
1977-07-01,pce,1280.5,0.0662097526332452
1977-08-01,pce,1285.7,0.06665468764706386
1977-09-01,pce,1294.5,0.0674076545935262
1977-10-01,pce,1311.4,0.06885369338843683
1977-11-01,pce,1327,0.07018849842989279
1977-12-01,pce,1336,0.07095857826150201
1978-01-01,pce,1329.5,0.07040240949422868
1978-02-01,pce,1355.1,0.07259285879302821
1978-03-01,pce,1377.5,0.0745095019294778
1978-04-01,pce,1396.4,0.07612666957585716
1978-05-01,pce,1412,0.0774614746173131
1978-06-01,pce,1425.8,0.07864226369244723
1978-07-01,pce,1426.8,0.07872782811818159
1978-08-01,pce,1447,0.08045622951801559
1978-09-01,pce,1452.9,0.08096105962984831
1978-10-01,pce,1466.9,0.0821589615901293
1978-11-01,pce,1480.6,0.08333119422268997
1978-12-01,pce,1496.5,0.08469166859186625
1979-01-01,pce,1502.4,0.08519649870369897
1979-02-01,pce,1517.8,0.08651419086000804
1979-03-01,pce,1531.2,0.08766075416484843
1979-04-01,pce,1538.4,0.0882768180301358
1979-05-01,pce,1558.8,0.09002233231511667
1979-06-01,pce,1575.7,0.09146837111002731
1979-07-01,pce,1586.1,0.09235824113766461
1979-08-01,pce,1615.6,0.09488239169682813
1979-09-01,pce,1633.9,0.09644822068776687
1979-10-01,pce,1641.6,0.0971070667659214
1979-11-01,pce,1657.3,0.0984504282499508
1979-12-01,pce,1666.3,0.09922050808156002
1980-01-01,pce,1697.3,0.10187300527932508
1980-02-01,pce,1701.4,0.10222381942483595
1980-03-01,pce,1708.2,0.10280565751982956
1980-04-01,pce,1695.2,0.10169331998528293
1980-05-01,pce,1700.1,0.10211258567138126
1980-06-01,pce,1718.8,0.10371264043261375
1980-07-01,pce,1747.1,0.10613411368089604
1980-08-01,pce,1763.8,0.1075630395906598
1980-09-01,pce,1780.5,0.10899196550042356
1980-10-01,pce,1817.1,0.112123623482301
1980-11-01,pce,1826.8,0.11295359841192426
1980-12-01,pce,1851.7,0.11508415261270975
1981-01-01,pce,1870,0.11664998160364848
1981-02-01,pce,1884.2,0.11786499644907635
1981-03-01,pce,1902.9,0.11946505121030881
1981-04-01,pce,1904.4,0.11959339784891036
1981-05-01,pce,1913.8,0.1203977034508133
1981-06-01,pce,1934.5,0.12216888706351449
1981-07-01,pce,1942.1,0.12281917669909559
1981-08-01,pce,1966.6,0.12491550512958732
1981-09-01,pce,1965.5,0.12482138426127955
1981-10-01,pce,1963.9,0.12468448118010458
1981-11-01,pce,1970.6,0.12525776283252477
1981-12-01,pce,1988.8,0.12681503538089006
1982-01-01,pce,1997.1,0.1275252201144852
1982-02-01,pce,2021.2,0.1295873227746832
1982-03-01,pce,2024.1,0.12983545960931284
1982-04-01,pce,2026.3,0.13002370134592842
1982-05-01,pce,2044.5,0.1315809738942937
1982-06-01,pce,2048.1,0.1318890058269374
1982-07-01,pce,2072.2,0.13395110848713537
1982-08-01,pce,2080.1,0.13462706745043682
1982-09-01,pce,2104.6,0.13672339588092855
1982-10-01,pce,2125.8,0.13853736170649694
